Year,moneyprinted,GDP,Interest rate,WPI
1978,17292,5.712532089,10.77,10.6
1979,20000,-5.238182703,-1.06,11.8
1980,23424,6.735821528,4.48,14.2
1981,24937,6.006203624,5.12,15.9
1982,28535,3.47573324,7.77,16.3
1983,33398,7.288892901,7.32,17.6
1984,39915,3.820737856,7.95,18.8
1985,44095,5.254299223,8.68,19.7
1986,51516,4.77656417,9.09,20.8
1987,58555,3.965355634,6.56,22.2
1988,66786,9.62778292,7.64,24.1
1989,81060,5.947343328,7.44,25.8
1990,92892,5.533454563,5.27,28.1
1991,114406,1.056831433,3.62,31.9
1992,124066,5.482396021,9.13,35.7
1993,150778,4.75077622,5.81,38.3
1994,192257,6.658924067,4.34,42.4
1995,214835,7.57449184,5.86,46.3
1996,240615,7.549522249,7.79,48.4
1997,267844,4.049820849,6.91,50.6
1998,309068,6.18441582,5.12,53.6
1999,341796,8.845755561,9.19,55.4
2000,379450,3.840991157,8.34,59.1
2001,212936,4.823966264,8.59,61.9
2002,244655,3.803975321,7.91,63.5
2003,275444,7.860381476,7.31,66.9
2004,319761,7.922943418,4.91,71.3
2005,361229,9.284824616,4.86,74.7
2006,421940,9.263964759,2.57,78.2
2007,495950,9.801360337,5.68,82.1
2008,581598,3.890957062,3.77,89.2
2009,681113,8.479783897,4.81,91.3
2010,788299,10.25996306,-1.98,100
2011,936949,6.638362585,1.32,109.5
2012,1053799,5.456388753,2.47,117.7
2013,1175645,6.386106401,3.87,124.8
2014,1283748,7.410227605,6.7,129
2015,1428893,8.154425028,7.56,123.9
2016,1641571,7.112686097,6.35,123.9
2017,,6.681182282,5.46,128.1
2018,,6.81,5.13,133.6
